time,solar,wind,consume,battery,grid
2026-05-04 16:35:02,0.4,91.7,153.8,93.0,44.8
2026-05-04 16:35:03,0.2,91.5,153.5,93.4,44.6
2026-05-04 16:35:04,0.4,91.7,153.8,94.9,44.8
2026-05-04 16:35:05,0.2,91.5,153.5,95.1,44.6
2026-05-04 16:35:06,0.4,91.7,153.8,94.2,44.8
2026-05-04 16:35:07,0.2,91.5,153.5,93.4,44.6
2026-05-04 16:35:08,0.4,91.7,153.8,92.8,44.8
2026-05-04 16:35:09,0.2,91.5,153.5,92.7,44.6
2026-05-04 16:35:10,0.4,91.7,153.8,92.5,44.8
2026-05-04 16:35:11,0.2,91.5,153.5,92.7,44.6
2026-05-04 16:35:12,0.4,91.7,153.8,93.1,44.8
2026-05-04 16:35:13,0.2,91.5,153.5,94.0,44.6
2026-05-04 16:35:14,0.4,91.7,153.8,93.6,44.8
2026-05-04 16:35:15,0.2,91.5,153.5,94.4,44.6
2026-05-04 16:35:16,0.4,91.7,153.8,93.5,44.8
2026-05-04 16:35:17,0.2,91.5,153.5,94.2,44.6
2026-05-04 16:35:19,0.4,91.7,153.8,94.0,44.8
2026-05-04 16:35:20,0.2,91.5,153.5,94.6,44.6
2026-05-04 16:35:21,0.4,91.7,153.8,96.0,44.8
2026-05-04 16:35:22,0.2,91.5,153.5,96.2,44.6
2026-05-04 16:35:23,0.4,91.7,153.8,96.6,44.8
2026-05-04 16:35:24,0.2,91.5,153.5,95.1,44.6
2026-05-04 16:35:25,0.4,91.7,153.8,93.7,44.8
2026-05-04 16:35:26,0.2,91.5,153.5,94.2,44.6
2026-05-04 16:35:27,0.4,91.7,153.8,94.8,44.8
2026-05-04 16:35:28,0.2,91.5,153.5,93.8,44.6
2026-05-04 16:35:29,0.4,91.7,153.8,92.6,44.8
2026-05-04 16:35:30,0.2,91.5,153.5,91.0,44.6
2026-05-04 16:35:31,0.4,91.7,153.8,92.3,44.8
2026-05-04 16:35:32,0.2,91.5,153.5,91.0,44.6
2026-05-04 16:35:33,0.4,91.7,153.8,90.4,44.8
2026-05-04 16:35:34,0.2,91.5,153.5,91.5,44.6
2026-05-04 16:35:35,0.4,91.7,153.8,91.4,44.8
2026-05-04 16:35:36,0.2,91.5,153.5,89.8,44.6
2026-05-04 16:35:37,0.4,91.7,153.8,89.4,44.8
